Date,Open,High,Low,Close,Adj Close,Volume
2021-02-18,30.379999,30.920000,29.040001,29.270000,28.317961,105539200
2021-02-19,28.030001,28.490000,27.170000,27.330000,26.441061,215834800
2021-02-22,22.799999,23.200001,21.400000,21.670000,20.965158,490230400
2021-02-23,23.049999,24.260000,22.709999,24.059999,23.277420,293503100
2021-02-24,24.549999,25.000000,24.010000,24.400000,23.606361,155246400
2021-02-25,25.000000,25.250000,23.100000,23.190001,22.435719,170233000
2021-02-26,23.200001,23.420000,21.969999,22.240000,21.516619,159881000
2021-03-01,22.799999,23.040001,21.920000,22.000000,21.284426,90330100
2021-03-02,21.840000,22.330000,20.670000,21.990000,21.274750,147772300
2021-03-03,21.799999,21.889999,20.480000,21.190001,20.500772,185688500
2021-03-04,21.299999,22.400000,21.120001,22.219999,21.497269,127843200
2021-03-05,22.440001,23.219999,22.290001,22.389999,21.661739,126306300
2021-03-08,21.940001,22.280001,20.959999,21.100000,20.413698,141142800
2021-03-09,21.360001,21.950001,20.860001,21.590000,20.887760,122648000
2021-03-10,21.940001,22.340000,21.580000,22.340000,21.613367,111744100
2021-03-11,22.620001,23.490000,22.610001,23.290001,22.532467,130577500
2021-03-12,23.150000,23.379999,22.860001,23.170000,22.416370,68123200
2021-03-15,23.110001,23.670000,23.100000,23.650000,22.880756,68295000
2021-03-16,23.629999,23.680000,23.230000,23.280001,22.522793,43407900
2021-03-17,23.139999,24.129999,23.110001,24.080000,23.296770,77966400
2021-03-18,23.879999,23.900000,23.070000,23.240000,22.484093,77198900
2021-03-19,23.270000,24.040001,23.180000,24.000000,23.219372,90244500
2021-03-22,23.690001,23.780001,23.230000,23.520000,22.754986,44129300
2021-03-23,23.170000,23.629999,22.799999,22.799999,22.058403,57124700
2021-03-24,23.190001,23.540001,22.820000,22.820000,22.077753,63338300
2021-03-25,22.700001,23.299999,22.160000,23.200001,22.445395,79214500
2021-03-26,23.480000,23.879999,23.110001,23.459999,22.696936,60918600
2021-03-29,23.340000,23.830000,23.280001,23.830000,23.054903,50099700
2021-03-30,23.639999,23.990000,23.570000,23.830000,23.054903,41959100
2021-03-31,23.799999,24.230000,23.780001,24.100000,23.316120,68609400
2021-04-01,24.290001,24.389999,23.780001,23.889999,23.112949,47232900
2021-04-05,24.129999,24.200001,23.680000,24.040001,23.258072,40454400
2021-04-06,24.180000,24.370001,23.910000,24.020000,23.238722,45934300
2021-04-07,23.940001,24.340000,23.930000,24.000000,23.219372,55892200
2021-04-08,23.980000,24.040001,23.370001,23.700001,22.929131,63231300
2021-04-09,23.500000,23.780001,23.370001,23.650000,22.880756,47494400
2021-04-12,23.959999,24.370001,23.780001,23.889999,23.112949,50592900
2021-04-13,23.980000,24.110001,23.690001,23.969999,23.190348,53612300
2021-04-14,24.200001,24.580000,23.980000,24.350000,23.557989,90836500
2021-04-15,23.700001,23.830000,23.020000,23.090000,23.090000,64193600
2021-04-16,23.129999,23.240000,22.809999,22.950001,22.950001,59150700
